"ROCode","RONo","RODate","MHCode","MHName","PCode","PName","JobTypeCode","JobTypeName","Caption","EditCentre","DoPubTel","SizeDur","TotSizeDur","GuarantedPos","Premium","StrPre","Rate","StrRate","Amt","NetAmt","Remarks","BillAmt","InvNo","PayAmt","RectNo","RcptAmt","MBAmt","RateCGST","AmtCGST","RateSGST","AmtSGST","RateIGST","AmtIGST","FinalAmt","HSNCode"
$6.00,$2068.00,5-7-2017 0:00:00,$5.00,"QUBE CINEMA TECHNOLOGIES PVT. LTD.",$6.00,"B L AGRO INDUSTRIES LTD.",$4.00,"ADVERTISING IN WAVE CINEMA","BAIL KOLHU OIL","WAVE CINEMA MORADABAD","7-7-2017 TO 28-9-2017 (12 WEEK)","20 SEC.","20 SEC. X 3 SCREEN X 12 WEEK","INTERVELL",$0.00,"",$700.00,"FOR 10 SEC.",$50400.00,$37800.00,"",$18832.80,$2447.00,$44604.00,"1664",$94256.00,$44604.00,$0.00,$0.00,$0.00,$0.00,$18.00,$6804.00,$44604.00,
$7.00,$2069.00,5-7-2017 0:00:00,$5.00,"QUBE CINEMA TECHNOLOGIES PVT. LTD.",$6.00,"B L AGRO INDUSTRIES LTD.",$4.00,"ADVERTISING IN WAVE CINEMA","BAIL KOLHU OIL","WAVE CINEMA RUDRAPUR","7-7-17 TO 28-9-2017 (12 WEEK)","20 SEC.","20 SEC. X4 SCREEN X 12WEEK","INTERVAL",$0.00,"",$800.00,"FOR 10 SEC.",$76800.00,$57600.00,"",$28697.60,$2448.00,$67968.00,,$0.00,$45312.00,$0.00,$0.00,$0.00,$0.00,$18.00,$10368.00,$67968.00,
$8.00,$2070.00,6-7-2017 0:00:00,$1.00,"PVR LIMITED",$34.00,"H.S. JEWELS BADAUN PVT. LTD. MBD BRANCH",$5.00,"ADVERTISING IN PVR CINEMA","HARSHAIMAL SHYAMLAL JEWELLERS","PVR CINEMA MORADABAD","7-7-17 TO 3-8-17 (4 WEEK)","25 SEC,","25 SEC. X 3 SCREEN X 4 WEEK","INTERVELL",$0.00,"",$1200.00,"FOR 10 SEC.",$36000.00,$21600.00,"",$31004.50,$2410.00,$0.00,"1659",$50596.00,$0.00,$9.00,$1944.00,$9.00,$1944.00,$0.00,$0.00,$25488.00,
$9.00,$2071.00,6-7-2017 0:00:00,$2.00,"AMAR UJALA",$9.00,"KHWAJA PUBLIC SCHOLL",$2.00,"RUNNING CLASSIFIED","KHWAJA PUBLIC SCHOLL","MORADABAD","7-7-17, 8-7-17, 9-7-17","25 WORDS","25 WORDS","SAMAYA",$0.00,"",$894.00,"894 +894",$1788.00,$1519.80,"",$1877.40,$2408.00,$1596.00,"1647",$1647.00,$1595.79,$2.50,$38.00,$2.50,$38.00,$0.00,$0.00,$1595.79,
$10.00,$2072.00,7-7-2017 0:00:00,$2.00,"AMAR UJALA",$10.00,"EVER GREEN PUBLIC SCHOOL",$2.00,"RUNNING CLASSIFIED","REQUIRED TEACHERS","MORADABAD","9-7-17, 11-7-17, 14-7-17","25 WORDS","25 WORDS","REQUIRED TEACHER",$0.00,"",$894.00,"894 +894",$1788.00,$1519.80,"",$1869.00,$2435.00,$1596.00,"1613",$1613.00,$1595.79,$2.50,$38.00,$2.50,$38.00,$0.00,$0.00,$1595.79,
$49.00,$2109.00,26-7-2017 0:00:00,$4.00,"HINDUSTAN",$3.00,"GURPREET GRAMUDHYOG SAMITI",$10.00,"ADVERTISING IN NEWS PAPER","JIWAN SOAP","HINDUSTAN ALL EDITION","28-7-2017 OR ANY POSSIBLE DATE","8X8","64 SQCM.  (COLOUR)","BACK PAGE / PAGE NO. 3 OPTIONAL",$0.00,"",$950.00,"PER SQCM.",$60800.00,$51680.00,"ADVT PUBLISH IN BACK PAGE.",$63840.00,$2426.00,$54264.00,,$0.00,$54262.00,$0.00,$0.00,$0.00,$0.00,$5.00,$2584.00,$54264.00,
$50.00,$2110.00,26-7-2017 0:00:00,$2.00,"AMAR UJALA",$37.00,"ANTHEM ADVERTISING AGENCY",$12.00,"RETAIL DEAL ANTHEM","WAVE / PVR -- ANTHEM","AMAR UJALA MORADABAD","27-7-2017","H=10CM. W=8CM.","80 SQCM.","PAGE NO., 2 ONLY",$0.00,"",$3479.00,"FOR 1 ADVT",$3479.00,$2957.15,"DEAL AMOUNT - 83489/- FOR 24 ADVT.
INSERTION -8",$3105.01,$2438.00,$3105.00,,$0.00,$0.00,$2.50,$73.93,$2.50,$73.93,$0.00,$0.00,$3105.01,
$51.00,$2082.00,11-7-2017 0:00:00,$5.00,"QUBE CINEMA TECHNOLOGIES PVT. LTD.",$23.00,"HOUSE TASK SOLUTIONS",$4.00,"ADVERTISING IN WAVE CINEMA","HOUSE TASK SOLUTION","WAVE CIENAM MORADABAD","14-7-2017 TO 10-8-2017","15 SEC.","15 SEC . X 3 SCREEN X 4 WEEK","INTERVAL",$0.00,"",$700.00,"FOR 10 SEC.",$12600.00,$9450.00,"",$14124.60,$2440.00,$11151.00,"1605",$14124.00,$0.00,$0.00,$0.00,$0.00,$0.00,$18.00,$1701.00,$11151.00,
$52.00,$2090.00,17-7-2017 0:00:00,$9.00,"GAUTAM FILM PRODUCTION",$38.00,"MAA GAYATRI INDUSTRIAL TRAINING INSTITUTION",$4.00,"ADVERTISING IN WAVE CINEMA","MAA GAYATRI","MORADABAD","NA","10 SEC.","10","GOOD",$0.00,"",$5000.00,"",$5000.00,$5000.00,"",$0.00,$0.00,$0.00,"1603",$2500.00,$0.00,$9.00,$450.00,$9.00,$450.00,$0.00,$0.00,$5900.00,
$53.00,$2111.00,28-7-2017 0:00:00,$10.00,"PANORAMA TELEVISION PVT. LTD.",$39.00,"G. R. SOLVENTS & ALLIED INDUSTRIES LTD",$6.00,"ADVERTISING IN NEWS CHANNEL","GWALA PASHU AAHAR","ETV UP UK","1-8-2017 TO 15-8-2017","10 SEC.","150 SPOT FOR 10 SEC. (1500 SECONDS)","12 PM TO  6 PM - 10 ADVT",$0.00,"",$400.00,"FOR 10 SEC.",$60000.00,$51000.00,"USE RUNNING ADVT FOR ADVERTISING.",$65490.00,$2500.00,$60180.00,,$0.00,$0.00,$9.00,$4590.00,$9.00,$4590.00,$0.00,$0.00,$60180.00,
$54.00,$2112.00,28-7-2017 0:00:00,$10.00,"PANORAMA TELEVISION PVT. LTD.",$39.00,"G. R. SOLVENTS & ALLIED INDUSTRIES LTD",$6.00,"ADVERTISING IN NEWS CHANNEL","GWALA PASHU AAHAR","ETV UP UK","16-8-2017 TO 31-8-2017","10 SEC.","160 SPOT FOR 10 SEC. (1600 SEC. )","12 PM TO  6 PM - 10 ADVT",$0.00,"",$400.00,"FOR 10 SEC.",$64000.00,$54400.00,"USE RUNNING ADVT FOR ADVERTISING.",$69856.00,$2517.00,$64192.00,,$0.00,$64192.00,$9.00,$4896.00,$9.00,$4896.00,$0.00,$0.00,$64192.00,
$55.00,$2113.00,28-7-2017 0:00:00,$10.00,"PANORAMA TELEVISION PVT. LTD.",$39.00,"G. R. SOLVENTS & ALLIED INDUSTRIES LTD",$6.00,"ADVERTISING IN NEWS CHANNEL","SCROLL","ETV UP UK","1-8-2017 TO 15-8-2017","ETV UP UK","15 SCROLL PER DAY","1 PM TO 5 PM",$0.00,"",$75.00,"SCROLL",$16875.00,$14343.75,"USE RUNING SCROL MATTER ON ETV UP UK.",$18419.06,$2501.00,$16926.00,,$0.00,$0.00,$9.00,$1290.94,$9.00,$1290.94,$0.00,$0.00,$16925.63,
$56.00,$2114.00,28-7-2017 0:00:00,$10.00,"PANORAMA TELEVISION PVT. LTD.",$39.00,"G. R. SOLVENTS & ALLIED INDUSTRIES LTD",$6.00,"ADVERTISING IN NEWS CHANNEL","SCROLL","ETV UP UK","16-8-2017 TO 31-8-2017","SCROLL","15 SCROLL PER DAY","1 PM TO 5 PM",$0.00,"",$75.00,"PER SCROLL",$18000.00,$15300.00,"",$19647.00,$2518.00,$18054.00,,$0.00,$18054.00,$9.00,$1377.00,$9.00,$1377.00,$0.00,$0.00,$18054.00,
$21.00,$2093.00,11-7-2017 0:00:00,$0.00,"",$0.00,"",$0.00,"","","","","","","",$0.00,"",$0.00,"",$0.00,$0.00,"",,$0.00,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,
$22.00,$2083.00,11-7-2017 0:00:00,$5.00,"QUBE CINEMA TECHNOLOGIES PVT. LTD.",$24.00,"ADVANCE SPEECH THERAPY",$4.00,"ADVERTISING IN WAVE CINEMA","SHIVAM KATARIA","WAVE CINEMA MORADABAD","14-7-17 TO 27-7-2017 (2 WEEK)","15 SEC.","15 SEC. X 3 SCREEN X 2 WEEK","INTERVAL",$0.00,"",$700.00,"FOR 10 SEC.",$6300.00,$4725.00,"",$7062.30,$2419.00,$5576.00,"1622",$5000.00,$5576.00,$0.00,$0.00,$0.00,$0.00,$18.00,$850.50,$5575.50,
$23.00,$2084.00,13-7-2017 0:00:00,$2.00,"AMAR UJALA",$25.00,"HAMID ALI",$8.00,"MATRIMONIAL","MATRIMONIAL- REQUIRED GIRL","UP UK","16-7-17","25 WORDS","25 WORDS","MUSLIM",$0.00,"",$2428.00,"",$2428.00,$2063.80,"",$2549.40,$2441.00,$2167.00,"1606",$1606.00,$2166.99,$2.50,$51.60,$2.50,$51.60,$0.00,$0.00,$2166.99,
$24.00,$2085.00,13-7-2017 0:00:00,$5.00,"QUBE CINEMA TECHNOLOGIES PVT. LTD.",$34.00,"H.S. JEWELS BADAUN PVT. LTD. MBD BRANCH",$4.00,"ADVERTISING IN WAVE CINEMA","HARSHAIMAL SHYAMLAL JEWELLERS","WAVE CINEMA MORADABAD","1-7-2017 TO 21-7-2017","25 SEC.","25 SEC. X  3 SCREEN X 3 WEEK","INTERVELL",$0.00,"",$600.00,"FOR 10 SEC.",$13500.00,$10800.00,"SAPORT RO 2032",$15328.20,$2412.00,$0.00,"1634",$50596.00,$0.00,$0.00,$0.00,$0.00,$0.00,$18.00,$1944.00,$12744.00,
$25.00,$2086.00,13-7-2017 0:00:00,$1.00,"PVR LIMITED",$27.00,"AARNA LIGHTING & APPLIANCES",$4.00,"ADVERTISING IN WAVE CINEMA","AARNA LIGHTING","WAVE CINEMA MORADABAD","1-7-2017 TO 20-7-2017","10 SEC.","10 SEC. X 3 SCREEN X 20 DAYS","INTERVAL",$0.00,"",$1200.00,"FOR 10 SEC.",$10285.20,$6171.12,"SAPORT RO --   2035",$11456.88,$2436.00,$0.00,,$0.00,$0.00,$9.00,$555.40,$9.00,$555.40,$0.00,$0.00,$7281.92,
$26.00,$2087.00,14-7-2017 0:00:00,$5.00,"QUBE CINEMA TECHNOLOGIES PVT. LTD.",$7.00,"MADHURAM FURNITURE",$4.00,"ADVERTISING IN WAVE CINEMA","MADHURAM FURNITURE","WAVE CINEMA MORADABAD","18-7-17 TO  14-8-17 (4 WEEK)","30 SEC.","30 SEC. X 3 SCREEN X 4 WEEK","INTERVELL",$0.00,"",$600.00,"FOR 10 SEC.",$21600.00,$17280.00,"",$23680.24,$2442.00,$20390.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$18.00,$3110.40,$20390.40,
$27.00,$2094.00,19-7-2017 0:00:00,$1.00,"PVR LIMITED",$27.00,"SAM MARKETING COMPANY",$5.00,"ADVERTISING IN PVR CINEMA","AARNA LIGHTINNG","PVR CINEMA MORADABAD","21-7-2017 TO 17-8-2017","10 SEC.","10 SEC. X 3 SCREEN X 4 WEEK","INTERVELL",$0.00,"",$1200.00,"FOR 10 SEC.",$14400.00,$8640.00,"USE RUNNING ADVERTISEMENT FOR ADVERTISING.",$13593.60,$2445.00,$10195.00,,$0.00,$0.00,$9.00,$777.60,$9.00,$777.60,$0.00,$0.00,$10195.20,
$28.00,$2088.00,14-7-2017 0:00:00,$5.00,"QUBE CINEMA TECHNOLOGIES PVT. LTD.",$27.00,"AARNA LIGHTING & APPLIANCES",$4.00,"ADVERTISING IN WAVE CINEMA","AARNA LIGHTINNING","WAVE CINEMA MORADABAD","20-7-2017 TO 16-8-2017 (4 WEEK)","10 SEC.","10 SEC. X 3 SCREEN  X 4 WEEK","INTERVAL",$0.00,"",$600.00,"FOR 10 SEC.",$7200.00,$5760.00,"",$7646.40,$2443.00,$6797.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$18.00,$1036.80,$6796.80,
$29.00,$2089.00,14-7-2017 0:00:00,$2.00,"AMAR UJALA",$28.00,"ASHOK BANSAL",$2.00,"RUNNING CLASSIFIED","FOR RENT","MORADABAD","16-7-2017","25 WORDS","25 WORDS","FOR RENT",$0.00,"",$894.00,"",$894.00,$759.90,"",$840.00,$2444.00,$800.00,"1607",$1607.00,$797.90,$2.50,$19.00,$2.50,$19.00,$0.00,$0.00,$797.90,
$30.00,$2095.00,19-7-2017 0:00:00,$5.00,"QUBE CINEMA TECHNOLOGIES PVT. LTD.",$34.00,"H.S. JEWELS BADAUN PVT. LTD. MBD BRANCH",$4.00,"ADVERTISING IN WAVE CINEMA","HARSAHAIMAL SHYAMLAL JEWELLERS","WAVE CINEMA MORADABAD","22-7-2017 TO 18-8-2017","25 SEC.","25 SEC. X 3 SCREEN X 4 WEEK","INTERVAL",$0.00,"",$600.00,"FOR 10 SEC.",$18000.00,$14700.00,"GROSS RATE FOR 10 SEC. = 600/-
AGREED  RATE FOR 10 SEC. = 490/-",$20178.00,$2407.00,$17346.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$18.00,$2646.00,$17346.00,
